rank,lemma,original_lemma,translation,definitions,english_definition,pos,sentence,english_sentence
432,hey,hey,hey!,,,interjection,Hey cómo se supone que voy a saber.,Hey how am I supposed to know.
1554,miguel,miguel,synonym of mí,,synonym of mí (me),Pronoun,Qué ha ido mal miguel.,What's wrong with miguel?
1697,cuántas,cuántas,how many,,"feminine plural of cuánto, how many",Pronoun,Tienes alguna idea de en cuántas casas ha entrado.,You have any idea how many houses he's been in.
2349,jorge,jorge,cockchafer,,cockchafer,Noun,Jorge alberti armando de alba.,Jorge alberti arming at dawn.
2498,martín,martín,black-crowned night heron,,black-crowned night heron,Noun,Dirección y puesta en escena martín clutet.,Direction and staging martin clutet.
2836,brasil,brasil,brazil; brazilwood,,"brazil, brazilwood",Noun,Se encuentra en argentina brasil paraguay y perú.,"It is found in Argentina, Brazil, Paraguay and Peru."
2970,casualidad,casualidad,fluke; chance; coincidence; happenstance,,"chance, coincidence, happenstance, fluke, accident",Noun,La vida es una casualidad.,Life is a coincidence.
3036,carmen,carmen,a type of house in Granada,,a type of house in Granada,Noun,Las fiestas del carmen son el de julio.,The carmen parties are July.
3183,elena,eleno,female equivalent of eleno,,female equivalent of eleno,Noun,Así es como tiene que ser elena.,That's how it has to be elena.
3392,madame,madame,madam,,madam (polite term of address to a woman),Noun,No no no no no madame.,No no no no no ma'am.
3953,adios,adios,Anglicization of adiós,,Anglicization of adiós.,interjection,Estamos aquí para decirle adios.,We're here to say goodbye.
4127,constantemente,constantemente,constantly,,constantly,Adverb,No puedo olvidarlo pero no tengo que recordarlo constantemente.,"I can't forget it, but I don't have to remember it all the time."
4205,integración,integración,integration,,integration,Noun,Por qué fuerzas la integración de los espíritus en ciudad república.,Why you force the integration of spirits into republic city.
4262,super,super,very; mega,,"very, mega",Adjective,Hay que hacer el final super feliz.,We have to make the finale super happy.
5024,am,am,a.m,,a.m. (before noon),Adverb,Una brutal golpiza a las am debió tener algún motivo.,A brutal beating at am must have had some motive.
5357,arturo,arturo,gluttonous,,gluttonous,Adjective,Tengo que hacer algo si no arturo morirá.,I have to do something if not arturo will die.
5466,buscarla,buscarla,grass warbler,,grass warbler,Noun,Voy a buscarla por ello.,I'll get her for it.
5504,we,we,guy; dude; buddy,,"dude, guy, buddy",Noun,We have to pay for the love we stole.,We have to pay for the love we stole.
5513,claudia,claudia,greengage,,greengage,Noun,Vamos a la mesa claudia.,Let's go to the claudia table.
5573,baby,baby,girl; love,,"girl, love",Noun,No son dos vasos suficiente baby.,It's not two glasses enough baby.
5588,hall,hall,lobby; lounge,,"hall, lobby, lounge",Noun,Hall ve a ver a la mujer.,Hall go see the woman.
5641,ortega,ortega,black-bellied sandgrouse,,black-bellied sandgrouse,Noun,El de la avenida ortega.,The one on Ortega Avenue.
5685,relativamente,relativamente,relatively,,relatively,Adverb,Estoy relativamente acostumbrado a este tipo de situaciones.,I'm relatively used to these kinds of situations.
5940,planificación,planificación,planning,,,Noun,El servicio de planificación tiene las funciones siguientes.,The planning service has the following functions.
6034,sonreír,sonreír,to smile,,,Verb,Es un nombre que me hace sonreír.,It's a name that makes me smile.
6053,atrapada,atrapada,catch,,feminine singular of atrapado,Noun,Decía que se sentía atrapada por la tierra.,He said he felt trapped by the earth.
6245,bailarina,bailarín,dancing,,female equivalent of bailarín (“dancer”),Noun,Creo que están al tanto de que diana fue bailarina.,I think you're aware that target was a dancer.
6427,irlanda,irlanda,a fabric of Irish wool,,a fabric of Irish wool,Noun,Reino unido de gran bretaña e irlanda del norte.,United Kingdom of Great Britain and Northern Ireland.
6470,introducir,introducir,to insert,,to insert,Verb,Se pueden introducir entonces mejoras por dos vías.,Two-way improvements can then be made.
6490,vargas,varga,steepest part of a slope,,plural of varga,Noun,Justo rodriguez vargas proyecto de la integración para la cooperación.,Justo rodriguez vargas integration project for cooperation.
6674,mónica,mónico,monic,,feminine singular of mónico,Adjective,Yo voy a la escuela católica santa mónica.,I go to Holy Monica Catholic school.
6808,detectar,detectar,to detect,,to detect,Verb,Mira no puedo llegar a donde estoy si no se detectar a un ganador.,"Look, I can't get where I am if I don't spot a winner."
6824,chan,chía,chia,,alternative form of chía,Noun,Cierto cuándo me vas a dar una foto de chan young.,True when you're going to give me a picture of chan young.
6904,banesto,banesto,a Spanish bank,,"someone who banks with Banesto, a Spanish bank",Noun,Banesto en la época de los acontecimientos.,Banesto at the time of events.
7039,toledo,toledo,toilet,,,Noun,El deporte favorito de toledo.,Toledo's favorite sport.
7096,atlético,atlético,athletic,,athletic (relating to athletes or athletics),Adjective,La campaña del atlético de madrid.,The madrid athletics campaign.
7109,trofeo,trofeo,trophy,,,Noun,Es un trofeo de guerra.,It's a war trophy.
7161,rescatar,rescatar,to rescue,,to rescue,Verb,Estoy aquí para rescatar gente y establecer felicidad por todos lados.,I'm here to rescue people and establish happiness everywhere.
7319,republicano,republicano,republican,,republican,Adjective,De un grupo de presión republicano.,From a Republican lobby.
7458,regulación,regulación,regulation,,regulation,Noun,No es la regulación así que sé que no puedes llevarlo.,"It's not the regulation, so I know you can't take it."
7476,contemplar,contemplar,to contemplate,,to contemplate,Verb,Un momento para contemplar y olvidar.,A moment to contemplate and forget.
7558,aparcamiento,aparcamiento,parking,,parking garage,Noun,En el aparcamiento del hospital.,In the hospital parking lot.
7770,picasso,Picasso,a surname,,alternative letter-case form of Picasso (“work of art by Pablo Picasso”),Noun,Bueno me siento como picasso con su amante.,"Well, I feel like spadeso with her lover."
7821,hermanito,hermano,brother,,diminutive of hermano; little brother,Noun,Qué le pasó a tu hermanito cielo.,"What happened to your little brother, honey?"
7905,perpetua,perpetua,globe amaranth,,globe amaranth,Noun,De años a perpetua.,From years to life.
8212,retroceder,retroceder,to back up,,"to back up, to go back, to step back, to move backward, to shrink back",Verb,La policía hace retroceder a la gente.,The police are backing people back.
8239,hermanita,hermana,sister; female equivalent of hermano,,diminutive of hermana (“little sister”),Noun,Mañana es el cumpleaños de mi hermanita.,Tomorrow's my little sister's birthday.
8256,sobredosis,sobredosis,overdose,,,Noun,Es hora de que te des una sobredosis.,It's time you OD'd.
8258,parcialmente,parcialmente,partially,,partially,Adverb,Nació aquí pero vivió parcialmente en áfrica y europa.,He was born here but partly lived in Africa and Europe.
8305,concretamente,concretamente,concretely,,concretely,Adverb,Tengo varias preguntas sobre qué pedimos concretamente en estos momentos.,I have several questions about what we are asking specifically at the moment.
8361,culpabilidad,culpabilidad,guilt; guiltiness; culpability,,"culpability, guilt, guiltiness",Noun,Es una prueba de culpabilidad.,It's proof of guilt.
8382,inversores,inversor,investor,,plural of inversor,Noun,Por qué no lo entienden todos esos jodidos inversores.,Why don't all those fucking investors get it.
8397,paraguay,paraguay,the Paraguayan parrot,,the Paraguayan parrot,Noun,Los gobiernos de la república argentina y la república del paraguay.,The governments of the Argentine Republic and the Paraguayan Republic.
8464,bufete,bufete,lawyer's office,,lawyer's office,Noun,Voy a mirar en su bufete.,I'll check your firm.
8495,bay,bay,bye; so long,,bye; so long,interjection,He descubierto que es el carnicero de bay harbour.,I found out he's the bay harbour butcher.
8592,molina,molinar,you mill,,"inflection of molinar:
third-person singular present indicative
second-person singular imperative",Verb,A eduardo molina fajardo un periodista y escritor español.,A eduardo molina fajardo a Spanish journalist and writer.
8632,benito,benito,Benedictine monk,,Benedictine monk,Noun,Reconocimiento de la delegación benito juárez.,Recognition by the Benito Juárez delegation.
8642,desesperadamente,desesperadamente,hopelessly,,hopelessly,Adverb,Hay un niño que necesita desesperadamente la ayuda del hospital.,There is a child who desperately needs the help of the hospital.
8673,off,off,off-screen,,off-screen,Adjective,Off es que es un conflicto eh.,Off is that it's a conflict eh.
8719,down,down,depressed,,"down, depressed",Adjective,Don t let me down directo.,Don t let me down straight.
8736,permanentemente,permanentemente,permanently,,permanently,Adverb,No es un lugar para estar permanentemente.,It's not a place to be permanently.
8755,mentalidad,mentalidad,mentality,,mentality,Noun,Tienes la mentalidad de un niño de años.,You have the mentality of a child of years.
8764,je,je,heh; mockery or disbelief,,"Used to represent laughter, mockery or disbelief; heh.",interjection,A s est pas passé comme je l avais imaginé.,A s est passe comme je l avais imagined.
8967,interminable,interminable,unending,,interminable,Adjective,Por qué el interminable desfile de hombres.,Why the endless parade of men.
9012,gravemente,gravemente,severely; seriously,,"severely, seriously",Adverb,Por qué los estados siguen violando gravemente el derecho internacional.,Why states continue to violate international law gravely.
9024,cristóbal,cristóbal,Platymiscium dimorphandrum; a tree of Central and South America,,"Platymiscium dimorphandrum, a tree of Central and South America.",Noun,Página de la diócesis de san cristóbal.,Page of the diocese of St. Christobal.
9342,pág,página,p,,abbreviation of página: p (page),Noun,Resolución adoptada por el parlamento europeo acta de pág.,Resolution adopted by the European Parliament at p.
9350,cosita,cosa,small thing,,"diminutive of cosa
small thing
thingy",Noun,La cosita más hermosa que había visto en mi vida.,The most beautiful little thing I've ever seen.
9398,buda,buda,Buddha,,bulrush (Typha latifolia),Noun,Le dije al buda acerca de ellos.,I told the Buddha about them.
9399,paranoico,paranoico,paranoid,,paranoid person,Adjective,Pensé que el gobierno estaba paranoico.,I thought the government was paranoid.
9579,satanás,satanás,devil,,,Noun,Es el poder de satanás.,It is the power of satan.
9604,look,look,style; appearance,,"a look; style, appearance",Noun,Miren el look de snoop.,Look at the snoop look.
9607,was,was,a message sent or received over WhatsApp,,a message sent or received over WhatsApp,Noun,According to the information received he was released on october.,According to the information received he was released on October.
9778,royal,royal,baking powder,,royal (member of the British royal family),Noun,En fue elegido miembro extranjero de la royal society.,He was elected a foreign member of the royal society.
9850,p.,página,page,,abbreviation of página,Noun,Do l de p.,Do l de p.
9921,analistas,analista,analyst,,plural of analista,Noun,Ya tengo a tres analistas trabajando en él jack.,I already have three analysts working on it jack.
10068,pasarlo,pasarlo,to enjoy,,to enjoy (oneself in a certain way),Verb,Así que este año debería pasarlo conmigo.,So this year you should spend it with me.
10218,informativo,informativo,informative,,informative,Adjective,El documento informativo aborda en capítulos los siguientes temas.,The information report covers the following topics in chapters.
10291,dea,dea,goddess,,,Noun,Tengo unos amigos en la dea.,I've got some friends in the dea.
10388,camilo,camilo,Camillian,,Camillian,Adjective,Ud cree que camilo a su edad.,You think I walk at your age.
10481,line,line,lineout,,,Noun,Line tour es la agencia de viajes n del país.,Line tour is the country's n travel agency.
10487,hot,hot,sexy,,hot; sexy,Adjective,Se casó con el rey de los hot dogs tuvo un hijo y la dejó.,She married the king of the hot dogs and had a son and left her.
10493,procesamiento,procesamiento,processing,,processing,Noun,No pero tengo que llegar a la máquina de procesamiento.,"No, but I have to get to the processing machine."
10498,audio,audio,voice message,,voice message,Noun,Curso de alemán nivel medio con audio lección.,Mid-level German course with audio lesson.
10640,jamaica,jamaica,roselle,,,Noun,Copa de campeones de jamaica.,Cup of Jamaican champions.
10670,brevemente,brevemente,briefly,,,Adverb,Veo que está dispuesto a comentar brevemente este punto.,I see that you are prepared to comment briefly on this point.
10724,hombrecito,hombre,man,,"diminutive of hombre, small man",Noun,Por suerte hay el hombrecito de la familia.,Luckily there's the little man in the family.
10862,movilización,movilización,mobilization,,mobilization,Noun,Tiene un buen sentido del espacio una buena movilización.,It has a good sense of space a good mobilization.
10952,rellenar,rellenar,to refill,,to refill,Verb,Tengo una idea de como rellenar el tiempo.,I have an idea how to fill in the time.
11004,sorprendentemente,sorprendentemente,surprisingly,,surprisingly,Adverb,Por lo que puedo ver las cosas son sorprendentemente buenos.,From what I can see things are surprisingly good.
11079,sub,sub,under,,,Preposition,Selección de fútbol sub de hungría.,Soccer selection sub-hungria.
11095,capitana,capitán,captain,,female equivalent of capitán,Noun,Me equivoco o me ofrecieron el trabajo de capitana.,I'm wrong or they offered me the captain's job.
11113,tarzán,tarzán,Tarzan,,Tarzan (strong wild and attractive man),Noun,Parece que tarzán nos ha hecho un favor.,Looks like tarzan did us a favor.
11119,restaurar,restaurar,to restore,,"to restore, to renovate",Verb,Necesito restaurar el honor de mi familia.,I need to restore my family's honor.
11121,analista,analista,analyst,,,Noun,Lo que significa que hay un puesto de analista senior.,Which means there's a senior analyst position.
11134,montana,montano,montane,,feminine singular of montano,Adjective,Hasta que se mudó a montana.,Until he moved to a mountain.
11157,catedrático,catedrático,professor,,professor,Noun,Es licenciado en filosofía y letras y es catedrático de instituto.,He holds a degree in philosophy and literature and is a high school professor.
11220,tribuna,tribuna,gallery,,"gallery (uppermost seating area of a theatre, church, hall or auditorium)",Noun,Qué te hizo saltar desde la tribuna.,What made you jump from the rostrum.
11238,pascual,pascual,Paschal,,,Adjective,Por eso te amo pascual.,That's why I love you Easter.
11351,dese,dese,thingamabob; whatchamacallit,,"of that, from that",Noun,Puedo intentarlo pero dese prisa.,"I can try, but hurry up."
