rank,lemma,translation_non_fixed,translation_fixed
102,hace,ago (Note,ago; makes; does
166,mira,target,look; look at; he/she looks
222,dije,adorns; locket,I said
226,gusta,you taste,likes; pleases
234,hemos,heme (masculine plural),we have (auxiliary/existence)
246,primera,first gear,first
253,idea,he devises; she devises; it devises,idea
262,importa,you matter,matters; is important
265,policía,polity; police; Civility; public order,police officer; police
268,cualquier,anyone; whoever; whomever,any; any kind of
270,ven,they see (affirmative imperative tú),come (imperative); they see
274,nueva,news; novelty,new (feminine singular)
310,importante,important; that cares; that matters,important
327,da,you give,gives
337,general,overall,general; overall
350,incluso,enclosed; included,even; including
362,significa,you signify,means
388,deja,rest,leaves; lets
404,sigue,you follow,continues; follows
415,gustaría,I would taste,I would like
420,sentido,heartfelt; deeply felt,sense; meaning
439,trata,trade; trafficking; slave trade,deals with; is about; tries
445,llama,flame,calls; flame; llama
461,escucha,listening,listens; listen
473,oportunidad,timeliness,opportunity
509,dado,a die or dice,given
513,queda,curfew,remains; stays
527,necesitamos,we needed,we need
537,haga,I do,do; make (subjunctive/formal imperative)
561,acerca,he brings close; she brings close; it brings close,about; near
576,lleva,you take,carries; wears; takes
600,control,or running of a business,control
620,di,I gave (completed past),say (imperative); I gave
623,piensa,you think,thinks
646,café,brown,coffee; café
653,pienso,animal feed,I think
655,acaba,you finish,finishes; ends; just did
657,diga,way to say hello on the telephone,say; tell (subjunctive/formal imperative)
664,idiota,idiotic,idiot
703,noticias,notice (plural),news
736,suena,you sound,sounds
757,sucede,you happen,happens
761,siente,he seats; she seats; it seats,feels; is sorry
770,maría,magpie,María
783,existe,you exist,exists
791,vuelto,change,returned; come back
800,acabo,synonym of acabamiento,I just finished; I end
812,conoce,you know,knows; meets
816,vive,he applauds; she applauds; it applauds,lives
833,cámara,room,camera; chamber
848,baja,loss; casualty,low; drop; casualty
861,haz,do (imperative),do; make (imperative)
864,quiera,he desires; she desires; it desires,wants; want (subjunctive)
878,funciona,you work,works
900,alta,certificate of discharge,high; tall
912,radio,radius,radio
913,busca,search,looks for; searches for
920,llamo,I summon,I call; my name is
936,sale,ok,leaves; goes out; turns out
949,entendido,expert,understood
966,simple,mere; ordinary,simple
967,eras,age (plural),you were
1004,ninguno,no; none,none; no one; neither
1034,resulta,you result,it turns out; results
1048,llevó,he tooked; she tooked; it tooked (completed past),he/she took; carried
1060,tía,uncle (feminine singular),aunt
1078,anda,a bier or small platform,come on; go on; walk
1083,navidad,Christmas present,Christmas
1103,temo,I have an obsession,I fear
1115,juro,ownership,I swear
1120,parís,you give birth (vosotros present indicative),Paris
1134,animales,you inspire,animals
1149,vayas,expresses surprise (plural),you go (subjunctive)
1172,tuya,thuja,yours
1177,ideas,you devise,ideas
1185,blanca,minim; half note,white (feminine singular)
1193,dale,OK; right; okey dokey,come on; go ahead; give it to him/her
1201,disculpa,excuse,excuse me; sorry
1212,alegro,I make happy,I make happy; I'm glad (in me alegro)
1213,deje,accent,leave; let (subjunctive/formal imperative)
1223,veras,truth; reality (plural),you will see
1244,tomó,he tooked; she tooked; it tooked (completed past),he/she took; drank
1252,crisis,fit; attack,crisis
1262,red,web; mesh,network; net; web
1270,vuelva,he returns; she returns; it returns,return; come back (subjunctive)
1294,popular,Pertaining to PP; a Spanish political party,popular
1307,porqué,a reason,reason; why
1323,española,a female Spaniard,Spanish; Spanish woman
1343,recursos,writ (masculine plural),resources
1346,fiscal,prosecuting,prosecutor; tax-related; fiscal
1383,verme,worm,to see me
1385,depende,you depend,depends
1413,sepa,dunno; who knows,know (subjunctive/formal imperative)
1418,pasada,transit; crossing,past; last; passing
1426,tomado,drunk,taken; drunk
1428,clases,tuition (plural),classes
1447,menudo,what,what a...; small; tiny
1456,repente,attack; upsurge,sudden moment (in de repente)
1460,acabado,worn-out,finished; done
1477,tercera,a third,third
1480,salido,sticking out,gone out; left
1488,dejes,accent (plural),leave; let (subjunctive)
1490,llegue,stab; stabbing,arrive (subjunctive)
1495,matado,fugly; hideous,killed
1508,hayas,beech; beech tree (plural),you have (present subjunctive; auxiliary/existence)
1515,interesa,you interest,interests
1531,alegra,you make happy,makes happy; gladdens
1538,toca,kerchief; turban cloth,touches; it's time; plays
1540,aparece,you appear,appears
1549,traído,used; worn,brought
1564,estáis,stay,you are (vosotros; state/location/result)
1577,cayó,he felled; she felled; it felled (completed past),fell
1587,dejo,accent,I leave
1594,despierta,awake (feminine singular),awake; wakes up
1611,quedado,been,stayed; remained
1612,llamaré,I will summon,I will call
1616,pido,I ask for something,I ask for; request
1623,escuché,I listened to (completed past),I listened; I heard
1638,periódico,periodic,newspaper
1648,clara,the white,clear; light
1652,imbécil,dumb,idiot
1655,tamaño,so big; so small; equivalent in size; as big or small,size
1659,llevado,taken,taken; carried
1675,gana,desire,desire; urge; wins
1692,recién,just,just; newly
1712,nervioso,nerve,nervous
1722,come,you eat,eats
1737,estudiantes,student (plural),students
1774,gustaba,I tasted; he tasted; she tasted; it tasted (ongoing habitual/background past),liked; used to like; pleased
1777,ocurrido,unexpected,happened
1793,sujeto,held; grasped,subject
1808,cuesta,slope,costs; is difficult
1817,dejas,rest (plural),leave; let
1829,alcohol,galena,alcohol
1842,intereses,I interest (plural),interests
1859,plata,argent,silver; money
1866,encantaría,I would charm,I would love
1874,coño,guy; dude; bastard,fuck; damn
1894,bebe,baby,baby; he/she drinks
1901,envió,he sent; she sent; it sent (completed past),sent
1930,merece,you deserve,deserves
1945,detente,détente,stop
1984,legal,statutory,legal
1985,siga,he follows; she follows; it follows,continue; follow
2001,paga,payment,pays; payment
2009,federal,Amblyramphus holosericeus; the scarlet-headed blackbird,federal
2024,déjeme,I leave,let me; excuse me
2027,considera,you consider,considers
2028,cerdo,dirty,pig
2050,contento,content,happy; pleased
2061,tales,story,such; tales
2066,espada,stab; sword; slash and; which is designed to cut,sword
2069,charles,hi-hat,Charles
2078,fernando,fernet with Coca-Cola,Fernando
2081,leo,I read,I read; Leo
2083,términos,end; terminus (masculine plural),terms
2097,canal,flume; waterway,channel; canal
2122,cuba,barrel,Cuba
2123,metido,nosy,put in; involved
2138,acuerdas,you agree,remember; agree
2147,cámaras,room (plural),cameras; chambers
2149,privada,cul-de-sac,private
2153,mata,shrub,kills
2171,sienta,you seat,feels; sits
2172,tomé,I tooked (completed past),I took; I drank
2193,saca,bag; large sack,takes out; pulls out
2198,notas,show-off (plural),notes
2203,cura,cure (feminine singular),cure; priest
2204,actor,defendant,actor
2231,mensajes,message (plural),messages
2239,llamé,I summoned (completed past),I called
2243,motor,moving,motor; engine
2245,características,typical; characteristic (feminine plural),characteristics
2262,aguas,be careful!,waters; watch out!
2286,gustó,he tasted; she tasted; it tasted (completed past),liked; pleased
2287,finales,you pass on,finals; endings
2290,efectivo,real; true,cash; effective
2293,llámame,be called,call me
2331,elegido,chosenness; selectness,chosen; elected
2334,tomas,taking; capture; conquest; takeover (plural),you take
2344,pongo,orangutan,I put
2351,créeme,I believe,believe me
2356,guapo,arrowroot,handsome; good-looking
2365,chocolate,hashish,chocolate
2366,guapa,arrowroot (feminine singular),pretty; attractive
2382,ladrón,thievish,thief
2396,doctora,doctor's wife,doctor; female doctor
2407,término,end; terminus,term
2430,móvil,mobile,mobile phone; mobile
2433,mama,mamma; breast,mom; breast
2448,mio,meow,mine
2463,california,californium (feminine singular),California
2480,rica,fenugreek,rich; tasty; lovely
2482,lisa,mullet; white mullet,smooth; plain; Lisa
2507,libras,you save,pounds
2521,limpia,cleaning; cleansing,clean
2524,señoras,sir; lord; mister,ladies
2538,suponía,I supposed; he supposed; she supposed; it supposed (ongoing habitual/background past),I supposed; was supposed to
2556,franco,franc,frank; candid; Franco
2563,masa,dough,mass; dough
2613,ira,ire; anger,anger; wrath
2623,compras,buying; purchase (plural),shopping; purchases
2643,aplicación,rollout; deployment; implementation,application
2647,nerviosa,nerve (feminine singular),nervous
2663,molesto,vexed; annoyed,annoying; bothered
2671,presupuesto,estimated,budget
2681,ocupada,pregnant (feminine singular),busy; occupied
2683,cabrón,billy goat,bastard; asshole; jerk
2722,escucho,to i'm all ears awaiting an explanation,I listen; I hear
2723,puesta,clutch,set; put on; setting
2725,tenia,tapeworm,had
2761,whisky,cheese,whisky
2778,menores,small; little (plural),minors; younger
2780,asistente,attendee,assistant
2802,parada,station (feminine singular),stop
2808,directa,high gear,direct
2815,ruego,plea; appeal,plea; request; I beg
2823,quedas,quiet; still (feminine plural),you stay
2837,significado,significant,meaning
2866,caras,dear (feminine plural),faces; expensive (feminine plural)
2889,dicha,luck,said; bliss; happiness
2932,ramón,breadnut,Ramón
2942,considerado,considerate,considered
2991,habitual,beans,usual; habitual
2992,ciego,blind person,blind
3000,médica,doctor (feminine singular),doctor; female doctor
3011,ganador,winning,winner
3031,habitantes,inhabiting; said of something that inhabits (plural),inhabitants
3034,miras,target (plural),looks; aims; intentions
3037,pretende,you intend,intends; claims
3059,actualidad,present,present day; current times
3077,plena,a plain; plural plains,full
3085,cheque,checkmark,cheque; check
3101,cometido,mission,mistake; task; offense
3120,entrado,into; after the start of,entered; gone in
3150,mentiroso,having the qualities of a liar,liar
3157,pleno,plenary or joint session,full; plenary
3161,mires,resident (plural),look (subjunctive); watch
3169,césar,caesar,César
3170,pánico,pertaining to the god Pan,panic
3199,gustado,tasted,liked
3210,aléjate,estrange you,go away; get away
3227,quita,debt relief,removes; takes away
3231,global,aggregate,global; overall
3251,coma,comma,comma; coma
3252,individuo,indivisible,individual; person
3269,comprado,buyed,bought
3276,bombas,having a mild temperature (feminine plural),bombs
3281,rumores,you rumor,rumours
3286,cia,you back water,CIA
3299,miss,beauty queen,Miss
3325,bases,you base on,bases
3328,nuclear,to join up,nuclear
3358,muera,cooking salt,die (subjunctive)
3369,áfrica,African (feminine singular),Africa
3389,suéltame,I release,let me go
3394,canta,song; singing,sings; sing
3412,género,kind,genre; gender; kind
3413,sufrido,painstaking,suffered
3425,cantante,singing; who sings,singer
3439,paro,stagnation; freeze up,strike; unemployment; stop
3443,manda,vow,sends; orders; rules
3452,aguanta,that's crazy,hold on; endure
3455,policial,police force; Related to the police,police; police-related
3459,asistencia,audience,assistance; attendance
3468,metas,goal; target (plural),goals; targets
3472,abra,inlet; small bay,open (subjunctive)
3484,jo,stop; whoa,damn; wow
3490,bolas,bowling pin (feminine plural),balls
3507,mato,bushes,I kill
3519,afecta,prone; affected (feminine singular),affects
3520,eléctrica,electric company,electric; electrical
3522,emocionante,touching,exciting
3523,vengas,you avenge,come (subjunctive)
3542,esposas,handcuffs (plural),wives; handcuffs
3545,cumplido,polite,fulfilled; compliment
3550,buscamos,we seeked,we look for; we search for
3565,dígale,he says; she says; it says,tell him/her; say to him/her
3566,factor,a truth; a trufax; an opinion considered a true fact,factor
3571,miro,portia tree,I look
3573,dispara,you shoot,shoots; shoot
3583,hagámoslo,I do,let's do it
3588,ayudante,auxiliary,assistant; helper
3590,adivina,seer; fortune-teller (feminine singular),guess
3591,ladrones,thievish,thieves
3596,tetas,silly; immature; childishly foolish (feminine plural),tits; breasts
3597,contesta,reply; answer,answers; answer
3610,asegura,you secure,assures; ensures
3623,amén,so be it),amen
3626,criminales,you incriminate,criminals
3627,canto,singing,song; singing; I sing
3634,jefes,parents (plural),bosses; chiefs
3640,guerrero,warlike; bellicose,warrior
3641,sierra,saw,mountain range; saw
3651,salvado,bran,saved; bran
3663,discúlpeme,I excuse,excuse me
3677,buscaba,I seeked; he seeked; she seeked; it seeked (ongoing habitual/background past),was looking for
3685,ma,mum; mom,mom
3693,añadió,he augmented; she augmented; it augmented (completed past),added
3701,tocado,off,touched; headdress
3720,buscas,search (plural),you look for
3721,escolar,to go through a narrow place,school; school-related
3732,sabia,learned (feminine singular),wise (feminine singular); knew (without accent: sabía)
3744,calla,you calm,shut up; be quiet
3755,pare,stop; an act of stopping,stop (formal imperative/subjunctive)
3762,apesta,you stink,stinks
3773,berlín,donut,Berlin
3788,olvidó,he forgeted; she forgeted; it forgeted (completed past),forgot
3816,vende,he bandages; she bandages; it bandages,sells
3834,rocas,old (feminine plural),rocks
3848,pinta,look; appearance,look; appearance; paints
3859,parejas,level (feminine plural),couples; pairs
3861,valencia,valency; valence,Valencia
3874,bebidas,drunk (feminine plural),drinks; beverages
3876,mexicano,compare mexiquense),Mexican
3883,buscado,seeked,searched for
3935,pausa,rest; break; pause,pause
3950,recurso,writ,resource
3968,penal,a kind of prison,criminal; penal
3971,tiendas,tent (plural),shops
3980,retiro,retirement,retirement; retreat
4001,dispuesta,game; down; ready; willing (feminine singular),willing; ready
4013,bolsas,dickweed; shithead; dickhead (plural),bags
4016,cuéntame,I count,tell me
4018,considerando,recital,considering
4040,dispositivo,regulatory; dispositive,device
4062,horario,hourly,schedule
4065,disparado,shooted,shot; fired
4071,marta,marten,Marta
4083,resuelto,determined,resolved; settled
4106,repito,I repeat ),I repeat
4126,vendido,sellout,sold
4145,cojones,fuck!; shit!; damn!; damn it!,balls; guts; fucking hell
4159,tirado,easy-peasy,thrown; lying around
4200,apuestas,handsome; good-looking (feminine plural),bets
4211,grasa,nutritional fat,fat; grease
4214,as,an ace,ace; as
4237,luce,you shine,shines; looks
4248,importe,cost; price,amount
4253,man,guy; dude,man
